doc_content,doc_title,doc_section,doc_chapter,content_root1,content_root2,content_root3,content_root4,content_root5,content_root6,doc_index,doc_order
 Momentofinertiaofcolumns atany cross section outside ofjoints orcolumn capitals may be based on the grossarea of concrete. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.4.1,,,,,,796
 Variation in moment of inertia along axis of columns shallbe taken into account. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.4.2,,,,,,797
 Moment of inertia ofcolumns from top to bottom of the slab-beam atajoint shall be assumed infinite. 13.7.5- -Torsional members ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.4.3,,,,,,798
" Torsional members (13.7.2.3) shall be assumed to have a constant cross section throughout their length consisting ofthe largerof a) A portion of slab having a width equal to that of the column, bracket, or capital in the direction of the span for which momentsare being determined b) For monolithicor fully composite construction, the portion of slab specified in (a) plus that part of the transverse beam above and below the slab. c) Transverse beam as defined in 13.2.4. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.5.1,,,,,,799
" Stiffness K of an attached torsional member shall be calculated by the followingexpression: 9EcsC K, = 2 (13-6) where 2and 5relate t0 the transverse spans on each side of column. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.5.2,,,,,,800
 The constant CinEq.(13-6) may be evaluated for the cross section by dividingit into separate rectangular parts and carrying out the followingsummation: C : (13-7) ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.5.3,,,,,,801
" Where beams frame into columns in the direction of the span for which moments are being determined, valueofK, as computedby Eq. (13-6) shall be multiplied by therat10 ofmomentofinertiaof slab with such beam to momentof inertia of slab without such beam. 13.7.6 -Arrangement oflive load ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.5.4,,,,,,802
" When loading pattern is known, the equivalent frame shall be analyzed for thatload. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.6.1,,,,,,803
" When live load is variable but does not exceed thrce-quartersthedead load, orthe natureoflive load IS such that all panels will be loaded simultaneously, maximumfactored moments may be assumed to occur atall sections with full factored live load on entire slab system. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.6.2,,,,,,804
" Forloadingconditions other than those defined in 13.7.6.2, maximum positive factored moment near midspan ofapanel may be assumed tooccur with three-quarters the full factored live load on thepanel and on alternate panels; and maximum negative factored moment in the slab ata support may be assumed tooccur with three-quarters the full live load on adjacent panels only. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.6.3,,,,,,805
 Factored moments shall be taken not less than those occurring with full factored live load on all panels. 13.7.7-Factored moments ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.6.4,,,,,,806
" At interior supports, critical section for negative factored moment (in both column and middle strips) shall be taken at face ofrectilinear supports, butnot greater than0.1754from center ofacolumn. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.7.1,,,,,,807
" At exterior supports provided with brackets or capitals, critical section for negative factored moment in the span perpendicular to an edgeshall betaken atadistance from face ofsupportingelementnotgreater than one-halfthe projectionofbracket or capital beyond faceofsupporting element. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.7.2,,,,,,808
 Circular or regular polygon shaped supports shall be treated as squaresupports with the same area for 1ocation ofcritical section for negative design moment. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.7.3,,,,,,809
" Slab systems within limitations of 13.6.1, when analyzed by the Equivalent Frame Method, may have resultingcomputed momentsreducedinsuchproportion thattheabsolute sum ofthepositive and averagenegativemomentsused in design need not exceed the value obtained from Eq. (13-3). ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.7.4,,,,,,810
" Moments at critical sections across the slabbeamstripofeach frame may bedistributed tocolumnstrips, beams, and middle strips as provided in 13.6.4, 13.6.5, and 13.6.6 if the requirement of 13.6.1.6 iS satisfied. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.7.5,,,,,,811
,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,,,,,,,,812
" Notation Ag = grossarea of section, sq. in. fs = specified compressive strength of concrete,psi h = overall thickness ofmember, in. k : effective length factor - = vertical distance between supports, in. PnW= nominal axial load strength of wall designed by 14.4 0 = strength reduction factor. See9.3 ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14,,,,,,,813
,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14.1 -Scope,,,,,,,814
" Provisions of Chapter 14 shall applyfordesign of walls subjected toaxial load, with or without flexure. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14.1 -Scope,14.1.1,,,,,,815
 Cantilever retaining walls are designed in accordance with the flexural design provisionsofChapter 10. The minimum horizontal reinforcement shall be in accordance 14.2- General ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14.1 -Scope,14.1.2,,,,,,816
 Wallsshall be designed foreccentric loads and any lateral or other loads to which they are subjected. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14.1 -Scope,14.2.1,,,,,,817
" Wallssubject toaxial loads shall be designed in accordance with14.2, 14.3, and either 14.4or14.5. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14.1 -Scope,14.2.2,,,,,,818
 Design for shear shall bein accordancewith 11.10. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14.1 -Scope,14.2.3,,,,,,819
" Unless demonstrated by a detailed analysis, horizontal length of wall to be considered as effective for each concentrated load shall not exceed center-to-center distance between loads, nor width of bearing plus 4 times the wall thickness. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14.1 -Scope,14.2.4,,,,,,820
 Compression members built integrally with walls shall conform to 10.8.2. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14.1 -Scope,14.2.5,,,,,,821
" Walls shall be anchored to intersecting elements such asfloors, roofs, or to columns, pilasters, buttresses,and intersecting walls, and footings. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14.1 -Scope,14.2.6,,,,,,822
 Limits of thickness required by 14.5 may be waived where structural analysis shows adequate strength and stability. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14.1 -Scope,14.2.7,,,,,,823
 Transferof force to footingat baseof wall shall be in accordance with 15.8. 14.3→Minimum reinforcement ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14.1 -Scope,14.2.8,,,,,,824
 Minimum vertical and horizontal reinforcement shallbein accordance with 14.3.2and 14.3.3unlessa greater amount is required for shearby 11.10.8and11.10.9. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14.1 -Scope,14.3.1,,,,,,825
" Minimum ratio of vertical reinforcement area to gross concrete area shall be: a) 0.0012 for deformed bars not larger than No. 5 with specified yield strength not less than 60,000psi, or b) 0.0015 for other deformed bars, or c) 0.0012 for welded wire fabric (plain or deformed) not larger than W31 or D31. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14.1 -Scope,14.3.2,,,,,,826
" Minimum rat10 of horizontal reinforcementarea to gross concrete area shall be: a) 0.0020 for deformed bars not larger than No. 5 with a specifiedyield strength not less than 60,000 psi, or b) 0.0025 for otherdeformed bars, or c) 0.0020 for welded wire fabric (plain or deformed) not larger than W31 orD31. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14.1 -Scope,14.3.3,,,,,,827
" Walls more than 10 in. thick, except basement walls, shall have reinforcement for each direction placed in two layersparallelwith faces of wall in accordance with the following: a) One layer consisting of not less than one-halfand not more than two-thirds oftotal reinforcement required for each direction shall be placed not less than 2 in. nor more than one-third the thickness of wall from exterior surface. b) The other layer, consisting of the balance of required reinforcement in that direction, shall be placed not less than 3/4in. nor more than one-third thethickness of wall from interiorsurface. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14.1 -Scope,14.3.4,,,,,,828
" Vertical and horizontal reinforcement shall not be spaced fartherapart than three times the wall thickness, nor 18in. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14.1 -Scope,14.3.5,,,,,,829
" Vertical reinforcementneed not be enclosed by lateral tiesif vertical reinforcementarea isnotgreaterthan0.01 times gross concrete area, or where vertical reinforcementis notrequiredas compression reinforcement. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14.1 -Scope,14.3.6,,,,,,830
"14.4-Walls designed as compression members Exceptas provided in 14.5, walls subject to axial load or combined flexure and axial load shall be designed as compression members in accordance with provisions of 10.2, 10.3, 10.10, 10.11, 10.12, 10.15, and 14.2 and 14.3. 14.5-Empirical design method  14.5.1 Walls of solid rectangular cross section may be designed by the empirical provisions of14.5if resultant ofall factored loads is located withinthemiddle-third ofthe overall thickness of wall andall limits of14.2, 14.3, and 14.5 are satisfied. 14.5.2 Design axial load strengthoPawofawall satisfying limitationsof14.5.1 shall be computedbyEq. (14-1)unless designed in accordance with 14.4 <PP nw = 0.550fe's (14-1) where0=0.70 and effective length factor k shall be: For walls braced top and bottom againstlateral translation and a) restrained against rotation atone or both ends (top and/or bottom) 0.8 b) unrestrained against rotation at both ends 1.0 For wallsnot braced against lateral translation 2.0 14.5.3 Minimumthicknessof wallsdesigned by empirical design method. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 14 -Walls,14.1 -Scope,"14.3.7  Inadditiontotheminimum reinforcementrequired by 14.3.1, not less than two No. 5 bars shall be provided aroundall window and dooropenings. Such bars shall be extendedtodevelop the bar beyond the cornersofthe openings but not less than24 in.",,,,,,831
